Section,Item
Bread,"As wheat is the staple food of the state, breads are very significant.Breadsare generally flat breads; only a few varieties are raised breads. The breads may be made of differenttypesof flour and can be made in various ways. Popular breads include tandoori naan (naanbaked in atandoor), tandooriroti,kulcha,taftan,sheermal,rumali roti,poori,paratha,millet(millet flour flatbread),litti,kachori,parantha."
Common food,Biryani
Common food,Boondi
Common food,Chaat
Common food,Dumbhindi(fried whole okra stuffed with spiced potato filling)
Common food,Egg curry
Common food,Kofta
Common food,Korma
Common food,Lotpot
Common food,Litti chokha
Common food,Mutton biryani
Common food,Nihari
Common food,Pakora
Common food,Palak paneer
Common food,Pasandakabab(skewered boneless mutton)
Common food,Pasandapaneer(similar to paneer makhani)
Common food,Poori
Common food,Raita
Common food,Rajma
Common food,Chole(chickpea curry)
Common food,Samosa
Common food,"Shab deg(a winter dish, turnips and mutton balls with saffron)"
Common food,Kalmi kebab
Common food,Shami kabab(includes tangy green mango)
Common food,Sohan halwaespecially in Rampur state
Common food,Petha(known as bhatuapaag in Bhojpuri areas)
Common food,Tehri(vegetarian rice dish with spices and mixed vegetables)
Traditional desserts,Balushahi
Traditional desserts,Barfi
Traditional desserts,Chhena
Traditional desserts,Gajar ka halwa
Traditional desserts,Ghevar
Traditional desserts,Gujia
Traditional desserts,Gulab jamun
Traditional desserts,Halwa
Traditional desserts,Imarti
Traditional desserts,Jalebi
Traditional desserts,Kaju katli
Traditional desserts,Kalakand
Traditional desserts,Kheer
Traditional desserts,Kulfi
Traditional desserts,Laddu
Traditional desserts,Malpua
Traditional desserts,Peda
Traditional desserts,Petha
Traditional desserts,Rabri
Traditional desserts,Ras malai
Traditional desserts,Sheer khorma
Traditional desserts,Thekua
Common beverages,Chhaas
Common beverages,Lassi
Common beverages,Raita
Common beverages,Sharbat
Common beverages,Thandai
See also,Indian cuisine
See also,North Indian cuisine
See also,Awadhi cuisine
See also,Bhojpuri cuisine
See also,Mughlai cuisine
